ARI_actual,ARI_predicted,Malaria_actual,Malaria_predicted
10,0,9,0
11,10,9,9
9,17,11,3
7,10,13,10
10,17,10,3
12,14,8,6
8,13,12,7
9,8,11,12
6,12,14,8
2,14,18,6
4,16,16,4
7,5,13,15
6,2,14,18
9,1,11,19
7,3,13,17
5,5,15,15
4,9,16,11
9,5,11,15
11,3,9,17
6,1,14,19
7,8,13,12
11,9,9,11
10,1,10,19
9,3,11,17
12,3,8,17
9,0,11,20
10,3,10,17
9,8,11,12
13,5,7,15
7,7,13,13
6,4,14,16
6,3,14,17
5,9,15,11
8,2,12,18
7,3,13,17
7,2,13,18
10,5,10,15
9,4,11,16
7,5,13,15
9,3,11,17
6,3,14,17
8,4,12,16
8,4,12,16
4,4,16,16
12,3,8,17
8,1,12,19
10,4,10,16
11,2,9,18
4,1,16,19
8,1,12,19
9,1,11,19
8,1,12,19
9,1,11,19
9,1,11,19
10,3,10,17
8,0,12,20
10,4,10,16
8,7,12,13
6,3,14,17
4,1,16,19
8,2,12,18
7,1,13,19
6,1,14,19
6,2,14,18
1,0,19,20
8,0,12,20
11,2,9,18
5,0,15,20
6,0,14,20
6,0,14,20
7,2,13,18
9,1,11,19
3,0,17,20
7,1,13,19
6,2,14,18
13,2,7,18
10,0,10,20
4,2,16,18
10,1,10,19
6,1,14,19
11,6,9,14
7,3,13,17
10,0,10,20
10,4,10,16
11,2,9,18
11,3,9,17
10,3,10,17
10,10,10,10
11,12,9,8
8,10,12,10
14,9,6,11
9,0,11,20
6,3,14,17
12,2,8,18
6,9,14,11
8,2,12,18
12,0,8,20
11,1,9,19
8,9,12,11
9,11,11,9
7,7,13,13
10,4,10,16
5,3,15,17
11,0,9,20
7,4,13,16
10,3,10,17
14,3,6,17
10,11,10,9
9,19,11,1
12,12,8,8
11,14,9,6
6,18,14,2
7,12,13,8
5,11,15,9
11,4,9,16
10,4,10,16
15,8,5,12
10,10,10,10
9,1,11,19
3,1,17,19
5,0,15,20
